N,P,K,Temperature,Humidity,Rainfall,Label,Yield (kg/ha),Soil_Moisture (%)
18.698,136.848,196.073,23.43,91.385,336.37,apple,11073.067,26.416
29.769,144.217,193.465,21.634,93.129,373.354,apple,9630.393,37.7
32.221,120.567,202.849,22.951,95.74,362.671,apple,9231.926,31.652
34.211,119.566,202.888,22.743,94.255,376.403,apple,9607.539,25.53
34.353,132.572,210.566,21.238,96.414,410.341,apple,9612.279,18.03
31.7,134.222,204.684,23.507,89.586,378.184,apple,9561.436,28.667
22.236,123.61,196.552,23.416,91.254,358.17,apple,10206.171,27.25
1.886,142.782,194.072,22.859,86.832,329.388,apple,12230.232,26.371
24.081,140.319,201.488,22.17,92.222,339.13,apple,9426.896,20.843
17.937,133.906,198.188,24.331,90.58,360.061,apple,9090.1,32.06
31.556,139.824,205.758,21.762,91.496,361.744,apple,11627.467,30.413
35.781,141.805,190.745,22.733,92.601,404.594,apple,9262.339,31.509
6.526,117.878,202.462,21.197,91.338,325.839,apple,9928.517,37.592
11.823,143.699,202.12,22.599,95.044,350.512,apple,6746.414,33.67
22.941,143.146,200.96,23.368,93.653,467.691,apple,10500.566,31.156
31.234,134.7,203.974,22.359,94.089,390.211,apple,9510.652,33.52
38.176,138.413,196.2,22.898,88.823,400.782,apple,11159.947,20.974
3.461,126.29,202.025,22.272,96.135,301.011,apple,10626.07,18.86
29.065,139.515,198.496,24.008,91.241,416.969,apple,10709.886,30.104
5.362,118.998,196.638,21.454,91.873,267.429,apple,9719.46,25.857
3.833,143.147,194.336,22.579,88.219,442.211,apple,10896.558,32.607
37.548,142.18,196.935,21.364,93.716,332.76,apple,7812.849,30.326
30.814,139.261,202.164,22.803,94.172,404.0,apple,8783.158,39.824
11.261,145.739,198.639,22.694,92.667,389.197,apple,10593.305,35.546
14.427,137.721,200.463,23.483,91.534,429.439,apple,11232.985,27.396
18.177,143.61,196.222,23.071,93.536,315.768,apple,8772.261,39.472
2.509,133.57,207.367,22.66,91.841,368.07,apple,9197.301,26.896
7.77,144.462,198.713,21.618,92.155,345.293,apple,10221.334,34.451
33.663,144.768,195.61,21.694,94.135,411.031,apple,8966.451,33.6
0.617,116.864,205.635,21.408,91.244,324.858,apple,9013.291,37.167
37.154,119.007,200.826,23.835,92.321,325.873,apple,8482.9,24.971
21.55,143.444,202.191,23.927,90.596,368.864,apple,9946.038,23.209
14.43,134.927,198.63,24.658,93.707,412.689,apple,9250.021,33.966
26.956,143.816,199.704,24.005,89.579,385.055,apple,10510.294,34.388
27.952,145.678,197.871,24.711,90.531,391.205,apple,10079.714,35.905
38.144,139.611,197.515,22.053,94.567,412.579,apple,9450.379,34.2
16.022,126.796,197.459,21.891,96.428,367.39,apple,11666.293,25.688
35.736,131.328,203.097,23.973,94.549,431.092,apple,10634.226,21.338
4.506,129.512,204.215,22.075,94.018,302.635,apple,11794.535,24.31
18.71,126.862,200.108,22.522,90.63,307.57,apple,10752.38,26.728
26.752,138.374,204.477,22.152,93.344,433.637,apple,10580.298,31.204
33.258,127.164,207.624,20.549,93.133,457.155,apple,11939.053,31.433
31.985,125.093,197.522,22.814,89.07,420.956,apple,12045.594,41.019
28.955,139.997,203.342,24.33,94.531,372.02,apple,10762.537,26.262
34.58,144.546,196.253,23.936,94.283,437.738,apple,8578.162,35.139
31.198,127.263,205.932,23.043,92.778,414.203,apple,10283.004,28.794
13.128,147.509,199.205,22.535,95.099,377.386,apple,10673.672,33.427
6.233,138.368,200.279,21.989,94.667,388.706,apple,8853.798,31.397
-1.293,127.906,199.575,22.668,92.193,341.832,apple,12305.371,18.719
32.142,145.488,200.716,21.22,90.245,387.254,apple,9846.112,28.512
3.956,120.223,201.472,23.263,91.67,376.055,apple,8476.252,31.189
1.802,119.854,210.833,21.475,93.337,328.847,apple,8632.206,26.299
21.235,126.678,202.41,23.186,92.287,399.013,apple,7961.549,32.791
14.91,132.884,201.987,24.358,87.987,338.454,apple,10351.019,29.033
38.936,142.316,199.164,21.592,94.204,390.236,apple,6726.837,27.705
21.923,127.439,195.202,22.95,93.43,324.016,apple,10940.784,27.686
24.7,143.007,202.255,21.97,89.94,394.854,apple,11648.038,27.953
30.109,142.068,199.655,22.212,88.627,317.859,apple,9892.368,33.851
12.651,139.03,197.714,21.877,93.917,398.102,apple,10024.274,26.567
14.858,140.803,198.922,22.087,93.923,389.468,apple,10754.088,29.561
38.254,136.16,200.615,22.732,92.683,314.465,apple,9327.694,26.614
0.536,133.826,207.691,22.359,96.056,255.698,apple,8905.829,27.638
36.646,136.036,205.761,22.422,93.424,393.999,apple,10657.468,32.542
30.724,143.694,212.195,22.599,90.78,447.809,apple,6727.517,41.384
21.271,126.417,195.986,22.562,92.209,287.072,apple,10967.334,30.758
25.464,142.178,205.989,24.299,91.412,449.195,apple,11506.858,26.574
33.15,141.733,210.791,21.167,87.956,373.303,apple,8212.07,35.835
30.845,126.339,194.144,23.171,90.917,428.328,apple,8760.654,27.099
11.125,140.266,194.216,21.154,93.454,346.294,apple,10142.431,30.651
2.94,140.635,192.659,21.55,91.213,359.436,apple,9963.045,30.888
10.292,118.394,200.94,21.272,89.381,322.424,apple,9235.313,36.156
26.584,137.341,197.636,23.236,89.873,466.941,apple,10346.761,24.684
38.913,127.317,201.287,23.579,89.37,436.663,apple,8315.359,30.186
39.438,142.664,194.599,22.61,90.024,406.447,apple,10153.766,22.65
26.427,146.424,208.124,22.803,95.724,404.478,apple,8602.895,34.464
22.445,138.967,192.108,22.68,91.649,293.319,apple,9858.48,29.182
34.344,136.421,199.92,22.351,89.929,488.214,apple,10262.99,30.482
12.942,126.167,199.879,23.174,95.235,314.11,apple,9667.352,26.098
35.618,138.135,203.046,21.511,92.046,391.663,apple,10374.686,34.953
1.534,124.673,199.884,22.854,94.723,294.072,apple,10191.487,31.189
30.781,141.285,196.2,23.554,89.467,372.737,apple,9591.879,26.471
37.227,142.729,195.758,21.918,96.876,368.861,apple,10491.548,23.27
34.845,141.211,202.523,22.521,91.25,289.028,apple,9665.451,30.337
35.584,139.397,203.271,24.171,94.518,439.939,apple,9403.581,31.375
28.855,140.465,198.641,24.165,91.934,388.247,apple,9991.481,19.915
9.348,145.243,191.803,21.982,92.273,333.466,apple,9379.443,30.127
2.154,131.08,200.12,21.956,93.723,387.269,apple,9384.367,26.254
14.691,145.788,200.355,22.768,94.491,412.346,apple,8646.747,38.493
40.771,120.1,204.426,23.931,94.154,360.375,apple,10961.351,25.009
20.298,127.737,200.466,23.782,93.74,376.103,apple,9427.046,33.449
29.394,140.898,209.368,24.057,94.569,421.708,apple,10069.485,40.806
27.016,146.133,196.724,22.038,93.875,318.289,apple,8208.137,40.677
28.657,119.953,203.878,22.91,92.038,381.093,apple,10259.351,36.504
36.983,133.939,194.473,21.586,90.702,503.97,apple,11356.287,37.618
36.76,120.805,206.22,22.031,93.645,395.939,apple,9964.033,40.672
44.236,133.102,205.635,23.067,95.963,378.831,apple,11851.979,29.056
28.19,144.342,195.745,23.931,93.157,256.071,apple,10601.45,35.548
23.272,145.578,193.054,22.203,91.17,407.67,apple,10020.685,30.747
36.372,138.263,194.011,22.856,93.095,360.024,apple,8909.771,33.907
30.924,136.77,202.512,22.504,92.057,495.221,apple,11229.373,32.314
17.539,145.476,205.169,24.205,88.678,405.979,apple,8743.324,29.531
29.697,132.024,195.053,21.918,94.006,385.889,apple,10091.622,26.342
33.942,120.653,193.849,20.721,94.797,328.783,apple,10201.09,19.321
-2.681,145.868,206.478,20.562,90.026,269.953,apple,9965.72,30.719
16.579,139.556,194.718,21.421,92.751,305.675,apple,10543.426,26.357
39.785,120.269,203.835,24.154,89.867,373.655,apple,10075.681,27.281
4.346,134.914,200.075,23.189,93.266,321.609,apple,12077.19,29.289
30.389,135.114,195.16,23.513,93.545,308.538,apple,9606.866,31.364
26.369,124.956,190.098,23.942,91.221,390.941,apple,11471.316,25.641
8.424,127.825,202.878,21.886,94.101,318.166,apple,8654.748,30.137
13.177,121.469,203.676,22.139,92.925,386.775,apple,9261.562,28.215
18.032,123.754,194.076,22.582,93.649,352.617,apple,9433.063,26.999
19.835,140.201,203.31,23.666,90.956,436.617,apple,9889.526,25.633
19.45,123.292,199.53,23.243,90.937,322.364,apple,9754.01,32.732
-2.066,126.055,202.252,21.898,93.759,324.005,apple,9880.339,28.279
7.204,139.294,202.985,21.253,88.079,371.558,apple,10678.111,28.033
33.433,133.361,203.085,21.904,93.661,345.726,apple,11342.471,27.664
26.254,140.215,198.661,24.291,92.85,400.959,apple,9984.87,40.351
9.212,125.31,205.875,23.145,93.33,379.517,apple,8781.413,34.39
33.797,134.114,198.328,21.212,93.958,321.249,apple,10125.659,29.016
25.913,139.871,194.264,22.817,93.404,342.034,apple,10139.977,31.095
12.406,133.65,195.701,21.701,90.38,308.855,apple,9708.611,30.127
40.042,121.229,187.155,24.036,93.448,365.586,apple,10576.684,32.561
-0.632,131.192,197.513,22.549,94.517,328.826,apple,11168.72,24.748
11.938,136.294,196.367,23.581,93.024,416.891,apple,8910.167,28.623
13.088,137.609,199.066,22.788,96.492,355.546,apple,10669.414,33.234
37.713,144.409,199.008,22.118,94.461,461.225,apple,10273.662,37.715
23.862,141.623,201.98,21.449,91.179,315.931,apple,10917.243,41.19
11.401,144.73,200.597,23.668,94.984,467.555,apple,9095.123,31.566
10.196,143.91,199.627,22.718,90.786,375.449,apple,9731.524,35.46
29.656,139.623,196.162,24.246,89.288,400.193,apple,9035.378,34.67
15.102,139.595,191.152,23.661,89.693,412.792,apple,12591.637,34.678
13.275,139.866,196.707,22.326,91.963,276.332,apple,10694.322,38.413
29.768,118.682,194.41,22.611,93.296,448.668,apple,9295.731,32.629
33.015,140.32,199.729,23.163,90.144,457.666,apple,11215.267,32.74
20.134,132.977,192.987,24.438,93.988,322.913,apple,10506.307,21.728
2.556,124.396,200.744,21.846,89.922,389.469,apple,11998.975,33.071
3.334,144.949,200.289,24.226,93.165,318.966,apple,10736.297,32.716
24.158,136.47,197.108,23.394,91.166,409.222,apple,9769.912,31.741
23.637,137.225,199.476,23.334,93.577,376.619,apple,10765.376,37.821
39.143,134.072,193.644,22.391,91.274,365.847,apple,10412.345,39.148
12.334,140.817,197.838,22.065,93.048,358.474,apple,8711.711,31.106
6.98,129.501,200.958,21.698,90.23,362.132,apple,10125.499,26.595
9.702,143.168,195.151,22.512,95.177,359.918,apple,10872.84,23.825
17.594,126.471,207.807,22.853,89.943,325.242,apple,10596.559,28.83
5.654,140.324,198.239,22.019,88.619,284.698,apple,9825.947,31.033
11.588,145.323,193.384,22.56,95.638,385.607,apple,10376.027,31.1
5.101,123.919,202.757,22.792,97.919,342.602,apple,9094.759,27.457
41.091,139.162,197.395,23.468,90.522,371.113,apple,8850.131,32.283
13.15,146.416,192.396,22.943,91.696,378.455,apple,10335.618,32.57
9.995,136.317,202.669,20.744,93.21,389.216,apple,8716.465,36.205
-4.886,142.561,203.385,20.35,89.597,336.193,apple,10041.114,27.562
30.957,141.287,201.53,21.408,90.013,374.979,apple,11139.512,26.773
10.625,141.109,198.957,22.503,90.781,369.133,apple,9018.279,41.322
6.223,144.681,202.595,23.961,94.56,335.64,apple,10079.804,43.974
29.574,133.53,191.374,23.083,89.259,443.061,apple,11159.871,30.419
8.587,137.532,194.576,21.505,91.716,372.254,apple,10525.501,32.644
29.38,145.035,206.31,21.066,92.775,384.059,apple,9088.403,20.211
9.503,116.574,205.954,20.991,89.156,224.59,apple,9433.983,26.074
28.475,121.41,204.457,22.806,90.405,339.935,apple,9320.826,32.095
23.869,127.155,198.776,22.305,92.826,214.247,apple,8776.35,29.456
28.658,139.087,202.892,23.246,95.682,412.421,apple,10763.638,41.723
33.254,137.216,195.995,24.113,95.635,409.948,apple,10134.947,27.035
24.769,126.044,195.03,21.437,93.898,357.311,apple,9013.85,26.331
28.15,141.311,189.472,22.254,91.878,366.134,apple,7442.546,36.544
11.962,123.933,205.132,21.81,88.222,374.634,apple,8232.262,28.048
32.0,130.32,201.53,21.872,94.874,337.021,apple,10207.428,26.5
29.976,122.325,204.662,22.71,93.821,357.403,apple,10273.36,31.642
21.531,135.468,198.775,22.374,89.773,397.661,apple,10350.993,33.136
21.556,123.733,205.994,23.055,89.121,340.733,apple,11409.032,32.46
-1.131,139.201,198.72,23.441,89.557,377.368,apple,11770.537,16.547
37.619,136.065,198.661,21.251,91.868,421.244,apple,9923.509,36.958
29.049,134.835,200.764,22.971,91.262,374.251,apple,9583.977,24.885
-4.227,134.581,202.071,23.304,91.566,335.585,apple,8633.787,30.887
16.162,131.06,204.126,22.667,95.945,397.363,apple,10223.755,35.904
28.006,138.07,200.903,22.468,90.954,369.852,apple,9851.208,36.894
23.498,124.097,201.542,22.188,94.776,346.277,apple,9683.134,26.54
16.12,129.008,202.118,22.298,94.963,295.632,apple,10552.947,27.638
0.705,136.324,203.006,22.545,93.011,334.764,apple,10984.45,24.346
10.665,126.362,195.035,21.765,90.004,322.73,apple,11638.085,30.396
27.559,147.835,196.63,23.108,89.083,414.324,apple,11063.427,29.86
-0.821,144.211,203.627,21.524,88.584,278.565,apple,9005.923,26.966
40.067,135.068,201.778,23.586,93.118,443.715,apple,10911.455,37.368
9.685,136.715,204.086,23.451,95.018,374.485,apple,9964.59,29.565
27.236,125.329,196.607,24.083,93.462,378.894,apple,9884.762,25.535
22.811,130.847,198.858,22.898,90.74,431.243,apple,10558.591,27.475
14.628,136.201,203.635,23.185,92.851,478.449,apple,10754.024,34.203
36.006,124.72,205.973,23.138,89.737,431.753,apple,9430.125,29.838
39.402,126.55,200.879,23.044,92.894,373.042,apple,9879.07,27.381
24.254,128.044,194.462,22.786,89.042,294.871,apple,9288.245,28.598
5.732,130.183,206.309,22.628,90.421,431.739,apple,11568.723,24.156
26.954,141.799,197.313,21.837,91.092,344.63,apple,9905.377,24.844
30.785,121.486,203.863,22.11,95.569,380.009,apple,7871.475,25.223
10.776,120.945,189.094,22.327,86.615,373.728,apple,9768.995,29.912
4.871,142.132,200.55,20.966,88.882,434.046,apple,8254.724,22.054
4.687,140.171,201.171,23.155,94.338,394.616,apple,12164.529,32.624
29.142,121.503,202.122,23.638,88.903,434.979,apple,11851.622,27.559
34.764,143.415,192.323,23.874,96.16,407.855,apple,9218.665,26.596
29.171,130.28,199.201,21.707,93.247,382.481,apple,9221.129,32.799
4.38,140.994,198.467,22.037,90.326,343.322,apple,11331.919,26.37
38.153,149.276,201.988,23.593,92.391,466.326,apple,9261.467,28.385
30.882,143.448,202.032,22.34,93.042,353.298,apple,10947.738,33.578
7.151,140.955,196.449,20.795,91.914,311.014,apple,9540.061,35.236
41.491,135.438,205.324,22.436,94.87,350.094,apple,9471.265,34.979
0.238,149.92,211.972,21.134,88.476,377.055,apple,9262.092,32.533
2.839,120.428,203.665,22.98,95.854,280.292,apple,11252.299,34.677
30.542,122.337,201.523,23.15,88.692,405.184,apple,11484.507,40.526
30.867,137.646,203.89,22.454,90.087,340.804,apple,8791.379,24.715
7.699,129.505,201.717,22.107,91.117,343.243,apple,8920.402,27.519
2.911,138.24,200.097,22.938,89.618,324.474,apple,9225.21,29.889
10.916,142.022,191.259,22.224,92.401,393.95,apple,9974.473,30.475
26.655,122.191,201.894,23.906,90.798,350.241,apple,10761.356,23.558
20.975,133.485,203.156,23.174,93.863,361.399,apple,8975.248,33.255
18.887,143.12,205.833,24.465,91.276,392.235,apple,9663.546,24.634
-2.43,144.868,196.707,21.832,91.401,337.416,apple,11366.618,26.305
32.71,129.862,211.23,21.158,94.968,393.361,apple,8295.917,36.041
9.122,129.902,203.737,22.96,94.583,316.047,apple,11333.875,35.594
5.529,144.98,195.98,22.407,91.847,384.623,apple,10192.99,29.87
24.999,144.525,205.038,23.775,92.891,376.344,apple,10108.055,34.848
9.542,143.14,196.687,22.678,92.322,362.315,apple,9762.385,35.422
36.716,138.484,196.322,22.855,89.9,397.393,apple,12380.503,30.319
-0.731,131.559,195.857,22.747,90.935,354.266,apple,9758.843,26.598
37.618,143.172,205.111,23.233,90.61,415.844,apple,9205.187,15.638
28.948,121.329,201.822,22.824,94.573,290.67,apple,10199.551,28.498
19.636,131.895,201.901,22.501,96.834,297.989,apple,9587.732,36.289
25.158,124.806,194.498,21.986,92.232,351.554,apple,9439.193,28.265
31.772,119.31,194.47,23.597,88.177,349.777,apple,11527.077,33.093
31.128,119.295,200.42,22.35,93.869,346.224,apple,9785.494,26.605
23.53,125.518,202.987,22.422,93.653,334.133,apple,10728.24,29.028
30.463,120.917,199.919,23.118,89.909,334.566,apple,8719.052,37.197
0.933,145.214,205.038,21.713,87.495,341.596,apple,10024.008,32.343
33.645,143.25,196.44,22.831,93.59,367.608,apple,11600.278,31.561
16.101,135.264,196.638,24.03,97.657,343.905,apple,9766.797,21.865
30.498,144.227,204.213,22.827,92.544,356.88,apple,8674.354,33.76
14.672,127.305,213.185,23.171,94.412,347.686,apple,10128.452,29.874
32.157,145.772,200.439,22.355,96.745,421.978,apple,9527.846,29.405
-0.262,134.913,198.156,22.47,91.012,383.933,apple,10733.799,36.538
29.311,143.067,198.143,23.354,92.42,323.772,apple,10571.875,38.381
4.963,141.293,201.342,23.224,91.799,367.068,apple,10336.42,23.7
11.107,141.497,194.417,22.833,92.501,407.51,apple,9119.055,24.554
2.374,130.076,205.421,22.397,92.891,367.502,apple,9984.707,24.028
-0.431,145.413,187.538,22.982,92.408,276.757,apple,11989.309,30.307
3.639,135.047,205.411,22.964,93.017,321.751,apple,9524.484,34.03
29.995,121.593,196.996,23.806,92.543,253.761,apple,8984.685,29.316
-1.254,133.492,197.39,22.151,94.648,359.03,apple,9545.207,40.09
9.604,142.651,191.992,23.918,92.657,313.336,apple,9252.451,20.357
2.752,125.49,210.118,22.765,93.994,336.175,apple,10622.815,34.209
33.195,116.806,199.057,23.061,89.726,380.278,apple,8247.144,31.984
32.067,130.139,203.21,22.314,93.408,406.087,apple,10275.133,30.013
29.571,120.523,197.169,22.45,96.181,332.887,apple,9021.517,39.649
8.033,138.465,201.656,21.898,91.722,318.14,apple,10842.784,38.806
39.131,139.91,197.718,21.382,90.075,355.561,apple,8630.262,29.898
37.132,124.411,199.024,22.291,97.052,364.319,apple,10694.533,30.05
35.518,137.116,196.227,23.378,91.216,369.527,apple,10106.259,26.392
25.806,138.861,190.708,21.877,91.802,390.91,apple,9823.303,22.983
28.862,128.927,196.953,22.369,98.01,346.287,apple,9748.955,30.255
35.281,140.827,201.026,21.412,86.998,371.855,apple,12161.817,31.134
3.711,120.021,209.053,23.557,93.138,336.131,apple,11994.668,35.236
40.841,137.634,206.818,22.339,96.963,389.302,apple,8837.974,35.425
27.348,141.251,200.448,21.735,94.727,342.943,apple,10558.657,35.848
35.791,113.617,201.288,23.514,91.112,418.445,apple,11377.193,27.924
22.3,137.178,194.77,24.143,91.266,359.175,apple,11177.029,22.74
8.048,142.201,197.911,22.854,91.464,449.33,apple,11177.892,36.548
31.527,142.151,203.013,21.654,92.534,351.856,apple,8251.645,32.819
29.838,137.663,193.254,23.73,91.114,382.963,apple,9531.817,30.436
22.125,143.743,196.062,21.557,91.364,370.455,apple,10592.417,39.204
8.721,124.9,193.356,22.758,88.023,396.677,apple,9525.105,29.396
16.275,134.042,195.511,24.395,87.507,444.129,apple,9208.246,34.763
